# AFTER: 1d66caf8 (perf improvements applied)
go version go1.26.4 darwin/arm64
goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
BenchmarkGetServerConfig/serial-8         	518827584	         2.315 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/serial-8         	519275860	         2.324 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel         	496935564	         2.418 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel         	510103140	         2.348 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel         	508828707	         2.352 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel         	509696084	         2.354 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel         	508759136	         2.346 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel         	456089073	         2.369 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel         	510424896	         2.343 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel         	513549868	         2.349 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel         	512482782	         2.348 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel         	512728299	         2.339 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-4       	1000000000	         0.6304 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-4       	1000000000	         0.6348 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-4       	1000000000	         0.6386 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-4       	1000000000	         0.6435 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-4       	1000000000	         0.6291 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-4       	1000000000	         0.6239 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-4       	1000000000	         0.6297 ns/op	       0 B/op	       0 allocs/op
