# After Finding 12 (skip metric collection when no sink configured)
go version go1.26.4 darwin/arm64

goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
BenchmarkGetClientConfig/serial-8         	 8987697	       116.5 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/serial-8         	10902453	       148.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 7218718	       226.0 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 6197643	       200.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 5667903	       178.3 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 7110543	       164.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 7370372	       203.6 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 6805005	       218.0 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 6534552	       178.1 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 5111800	       211.8 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 7769550	       177.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel         	 7714166	       158.8 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	 8617932	       154.5 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	 7786296	       138.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	 9412455	       131.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	 9774799	       140.8 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	 9139702	       143.7 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	 9095998	       127.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	 8856643	       137.0 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	 8768772	       134.1 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	 9252934	       136.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-4       	 9320346	       134.5 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7082169	       161.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7145298	       169.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7158454	       164.2 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 6836127	       160.8 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7540837	       163.3 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7291722	       165.7 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7079284	       175.9 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7308664	       166.4 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7325665	       167.5 ns/op	     504 B/op	       2 allocs/op
BenchmarkGetClientConfig/parallel-8       	 7863858	       163.7 ns/op	     504 B/op	       2 allocs/op
PASS
ok  	github.com/ghostunnel/ghostunnel/certloader	168.049s
?   	github.com/ghostunnel/ghostunnel/certloader/internal/test	[no test files]
PASS
ok  	github.com/ghostunnel/ghostunnel/certloader/jceks	0.377s
?   	github.com/ghostunnel/ghostunnel/certloader/jceks/jcekstest	[no test files]
